id,text,mark
0,"«Газпром» и @lukoilrus обсудили ход реализации Генерального соглашения о стратегическом партнерстве
https://t.co/IUbCpYlGrf https://t.co/nk3zvaduzy",0
1,https://t.co/vpy6qJpLqJ,0
2,"В 2019 году Венгрия продолжает наращивать импорт российского газа
https://t.co/b5isu0dEfc",0
3,"Началось полномасштабное освоение Харасавэйского месторождения на полуострове Ямал
https://t.co/WZrCANo7Lc https://t.co/ItPXVFa8kU",0
4,https://t.co/f7G71DqfPq,0
5,"«Газпром» готовится к подаче газа на центральную котельную г. Воркуты
https://t.co/NxyUZ4MP6q https://t.co/SjbgZJ5NOU",1
6,"Эдуард Дадов возглавил ООО «Газпром социнвест»
https://t.co/s7ksR2g8nM",0
7,"«Газпром» и @uniper_energy обсудили текущие вопросы сотрудничества
https://t.co/bfIsCbPwGx https://t.co/6UqJ03Aqxn",0
8,"Виктор Зубков: реализуя в России проекты развития региональных газомоторных рынков, будем использовать лучший мировой опыт
https://t.co/1nEYn8hATa",0
9,"Милые женщины, поздравляем вас с наступающим Международным женским днем!
Фото: ООО «Газпром трансгаз Ставрополь»
https://t.co/i7xkizXdW6 https://t.co/2Mwmkogayl",0
10,"В начале 2019 года «Газпром» увеличил поставки газа в Австрию на 32,9%
https://t.co/nQw3bOstbx https://t.co/y0ujnkmkSR",0
11,"Сергей Меньшиков назначен начальником Департамента 307 ПАО «Газпром»
https://t.co/bnhmHPBr6P https://t.co/O9CIrWYNKx",0
12,https://t.co/q8tuedl8d4,0
13,"«Газпром» провел в Гонконге и Сингапуре четырнадцатый День инвестора
https://t.co/jTFxlGt5hj https://t.co/vvPCK0AANZ",0
14,"«Газпром» и @roscosmos подписали актуализированную дорожную карту сотрудничества
https://t.co/sXvnc6r6mY",0
15,"«Газпром» совершенствует работу в сферах производственной и экологической безопасности
https://t.co/jYmSzxdcvf https://t.co/M6x7QmhaKt",0
16,"«Газпром» активно привлекает отечественных производителей к решению стратегических задач компании
https://t.co/0ZNjd6honN https://t.co/ZBzDVcWAd8",0
17,"В 2005–2018 годах уровень газификации сельской местности увеличен в 1,7 раза — с 34,8% до 59,4%
https://t.co/CCfIAbjbVq",0
18,"О кадровых изменениях в ПАО «Газпром»
https://t.co/35KkKC6NOm",0
19,"Поздравляем с наступающим Днем защитника Отечества! На фото - сотрудники установки комплексной подготовки газа (УКПГ-1с) Заполярного нефтегазоконденсатного месторождения, Ямало-Ненецкий автономный округ. Фото Данила Хусаинова, ООО «Газпром добыча Ямбург». https://t.co/C2SWJpDkce",0
20,"Производительность газораспределительной станции «Новотульская» будет увеличена в 2019 году
https://t.co/8dRqJUzewO https://t.co/gndGalFPMQ",1
21,"«Газпром» и CNPC обсудили проекты поставок российского газа в Китай
https://t.co/m1nptbsLx9 https://t.co/YTrhf33lzh",0
22,"«Газпром» и Inter State Gas Systems подписали Меморандум о взаимопонимании
https://t.co/rJ3on23ieN",0
23,"«Газпром» продолжает работу по внедрению передовых цифровых технологий
https://t.co/lLsFngSBpL",-1
24,"«Газпром» эффективно работает над оптимизацией затрат
https://t.co/HN5tpyViUG",-1
25,"Совет директоров рассмотрел вопросы проведения годового Общего собрания акционеров
https://t.co/0bknk7zVDM",0
26,https://t.co/QLBtgog7xT,0
27,"Алексей Миллер и Президент Молдовы Игорь Додон @dodon_igor обсудили ход и перспективы сотрудничества в газовой сфере
https://t.co/nVjEaNK6Ug https://t.co/ts8PIxH16G",0
28,"«Газпром» развивает газоснабжение и газификацию Новгородской области
https://t.co/oP7FAZgyf6 https://t.co/7vZA7bAfnC",0
29,"«Газпром» и @omv обсудили актуальные вопросы сотрудничества
https://t.co/PryCpyk2cE https://t.co/5BWkzZNojm",0
30,"«Газпром» и Mitsui обсудили проекты «Сахалин-2» и «Балтийский СПГ»
https://t.co/anR0knQUgn https://t.co/baeXWMrB4X",0
31,https://t.co/r18ifY2oQs,0
32,"«Газпром» и ХМАО подписали новое пятилетнее Соглашение о сотрудничестве
https://t.co/xA0pPeigpz https://t.co/xuX44Mgeiq",0
33,"«Газпром» и Санкт-Петербург заключили Договор о сотрудничестве в 2019–2021 годах
https://t.co/Ws5kxkjp8q https://t.co/LXvjfe692D",0
34,"«Газпром» вывел энергетическую безопасность Калининградской области на новый уровень
https://t.co/XXuvd7rIwn https://t.co/bL5qrYzEnf",0
35,"Газпром 2018
https://t.co/Ht9GDwauzc https://t.co/SKNuUJNmO3",0
36,"Алексей Миллер и и.о. Вице-премьера Армении Мгер Григорян обсудили вопросы сотрудничества
https://t.co/9KNkvzDvZh https://t.co/dECXC1oWJo",0
37,"Выступление Алексея Миллера на предновогоднем селекторном совещании
https://t.co/Xrv55uWPyf",0
38,https://t.co/IekqHXSPMs,0
39,"«Газпром» и Itochu подписали Меморандум о взаимопонимании по проекту «Балтийский СПГ»
https://t.co/Nuh4qZdKzf",1
40,"«Газпром» и ЛУКОЙЛ ведут подготовку к созданию совместного предприятия для освоения Ванейвисского и Лаявожского месторождений
https://t.co/FJGYgK1u4s",1
41,"Алексей Миллер провел заседание Президиума Международного делового конгресса
https://t.co/H1MrgXKmu4",0
42,https://t.co/kmAqiOdeLN,0
43,https://t.co/GJCLtYTj1R,0
44,"Алексей Миллер и Президент Туркменистана Гурбангулы Бердымухамедов обсудили вопросы взаимодействия в газовой сфере
https://t.co/ofgxBryfrX",-1
45,"В Кирове в рамках программы «Газпром — детям» открыт легкоатлетический манеж
https://t.co/VdUwsUmQgi https://t.co/tpayO4a15N",0
46,"Новый рекорд потенциальной производительности ПХГ «Газпрома» в РФ — 812,5 млн куб. м в сутки
https://t.co/u2uyIiEPtP https://t.co/iLy4YAIPDv",0
47,"Правление «Газпрома» одобрило инвестиционную программу и бюджет на 2019 год
https://t.co/N7lpAvOAX8",0
