id,text,mark
0,газпром ПОЛЬЗОВАТЕЛЬ обсудили ход реализации генерального соглашения стратегическом партнерстве ССЫЛКА ССЫЛКА,0
1,2 19 году венгрия продолжает наращивать импорт российского газа ССЫЛКА,0
2,началось полномасштабное освоение харасавэйского месторождения на полуострове ямал ССЫЛКА ССЫЛКА,0
3,газпром готовится подаче газа на центральную котельную воркуты ССЫЛКА ССЫЛКА,1
4,эдуард дадов возглавил ооо газпром социнвест ССЫЛКА,0
5,газпром ПОЛЬЗОВАТЕЛЬ обсудили текущие вопросы сотрудничества ССЫЛКА ССЫЛКА,0
6,виктор зубков реализуя россии проекты развития региональных газомоторных рынков будем использовать лучший мировой опыт ССЫЛКА,0
7,милые женщины поздравляем вас наступающим международным женским днем фото ооо газпром трансгаз ставрополь ССЫЛКА ССЫЛКА,0
8,начале 2 19 года газпром увеличил поставки газа австрию на 32 9 ССЫЛКА ССЫЛКА,0
9,сергей меньшиков назначен начальником департамента 3 7 пао газпром ССЫЛКА ССЫЛКА,0
10,газпром провел гонконге сингапуре четырнадцатый день инвестора ССЫЛКА ССЫЛКА,0
11,газпром ПОЛЬЗОВАТЕЛЬ подписали актуализированную дорожную карту сотрудничества ССЫЛКА,0
12,газпром совершенствует работу сферах производственной экологической безопасности ССЫЛКА ССЫЛКА,0
13,газпром активно привлекает отечественных производителей решению стратегических задач компании ССЫЛКА ССЫЛКА,0
14,2 5 2 18 годах уровень газификации сельской местности увеличен 1 7 раза 34 8 до 59 4 ССЫЛКА,0
15,кадровых изменениях пао газпром ССЫЛКА,0
16,поздравляем наступающим днем защитника отечества на фото сотрудники установки комплексной подготовки газа укпг 1с заполярного нефтегазоконденсатного месторождения ямало ненецкий автономный округ фото данила хусаинова ооо газпром добыча ямбург ССЫЛКА,0
17,производительность газораспределительной станции новотульская будет увеличена 2 19 году ССЫЛКА ССЫЛКА,1
18,газпром cnpc обсудили проекты поставок российского газа китай ССЫЛКА ССЫЛКА,0
19,газпром inter state gas systems подписали меморандум взаимопонимании ССЫЛКА,0
20,газпром продолжает работу по внедрению передовых цифровых технологий ССЫЛКА,-1
21,газпром эффективно работает над оптимизацией затрат ССЫЛКА,-1
22,совет директоров рассмотрел вопросы проведения годового общего собрания акционеров ССЫЛКА,0
23,алексей миллер президент молдовы игорь додон ПОЛЬЗОВАТЕЛЬ обсудили ход перспективы сотрудничества газовой сфере ССЫЛКА ССЫЛКА,0
24,газпром развивает газоснабжение газификацию новгородской области ССЫЛКА ССЫЛКА,0
25,газпром ПОЛЬЗОВАТЕЛЬ обсудили актуальные вопросы сотрудничества ССЫЛКА ССЫЛКА,0
26,газпром mitsui обсудили проекты сахалин 2 балтийский спг ССЫЛКА ССЫЛКА,0
27,газпром хмао подписали новое пятилетнее соглашение сотрудничестве ССЫЛКА ССЫЛКА,0
28,газпром санкт петербург заключили договор сотрудничестве 2 19 2 21 годах ССЫЛКА ССЫЛКА,0
29,газпром вывел энергетическую безопасность калининградской области на новый уровень ССЫЛКА ССЫЛКА,0
30,газпром 2 18 ССЫЛКА ССЫЛКА,0
31,алексей миллер и вице премьера армении мгер григорян обсудили вопросы сотрудничества ССЫЛКА ССЫЛКА,0
32,выступление алексея миллера на предновогоднем селекторном совещании ССЫЛКА,0
33,газпром itochu подписали меморандум взаимопонимании по проекту балтийский спг ССЫЛКА,1
34,газпром лукойл ведут подготовку созданию совместного предприятия для освоения ванейвисского лаявожского месторождений ССЫЛКА,1
35,алексей миллер провел заседание президиума международного делового конгресса ССЫЛКА,0
36,алексей миллер президент туркменистана гурбангулы бердымухамедов обсудили вопросы взаимодействия газовой сфере ССЫЛКА,-1
37,кирове рамках программы газпром детям открыт легкоатлетический манеж ССЫЛКА ССЫЛКА,0
38,новый рекорд потенциальной производительности пхг газпрома рф 812 5 млн куб в сутки ССЫЛКА ССЫЛКА,0
39,правление газпрома одобрило инвестиционную программу бюджет на 2 19 год ССЫЛКА,0
40,газпром ведет подготовку строительству трех газопроводов ставропольском крае ССЫЛКА ССЫЛКА,0
41,газпром развивает систему газоснабжения московской области ССЫЛКА ССЫЛКА,0
